"id","date","record","title","fileUrl","type","result","recordUrl","detailsUrl","videoUrl","affirmativeCount","negativeCount","abstentionCount","absentCount"
871,"2012-11-28",9,"Temas Varios O.D. ( PE-17/12-PL, PE-159/12-PL, O.D. 831/2012, O.D. 1118/2012, O.D. 1271/2012, O.D. 1283/2012, O.D. 1308/2012, O.D. 1116/2012, O.D. 1119/2012, O.D. 1272/2012, O.D. 1284/2012, O.D. 1117/2012, O.D. 1174/2012, O.D. 1273/2012, O.D. 1285/2012","/parlamentario/comisiones/verExp/17.12/PE/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/871","/votaciones/detalleActa/871",,51,0,0,21
872,"2012-11-28",10,"PROYECTO DE LEY EN REVISION DECLARANDO CAPITAL NACIONAL DEL TURISMO AVENTURA A LA LOCALIDAD DE SAN CARLOS DE BARILOCHE, PROVINCIA DE RIO NEGRO. O.D. 1279/2012","/parlamentario/parlamentaria/ordenDelDiaResultadoLink/2012/1279","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/872","/votaciones/detalleActa/872",,50,0,0,22
873,"2012-11-28",11,"PROYECTO DE LEY EN REVISION DECLARANDO CAPITAL NACIONAL DEL TURISMO AVENTURA A LA LOCALIDAD DE SAN CARLOS DE BARILOCHE, PROVINCIA DE RIO NEGRO. O.D. 1279/2012","/parlamentario/parlamentaria/ordenDelDiaResultadoLink/2012/1279","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/873","/votaciones/detalleActa/873",,51,0,0,21
874,"2012-11-28",12,"ARTAZA: PROYECTO DE LEY INSTITUYENDO Y REGULANDO EL DERECHO DE FORMACION DEPORTIVA DE LAS ASOCIACIONES CIVILES SIN FINES DE LUCRO DEDICADAS A LAS ACTIVIDADES DEPORTIVAS, EN CUALQUIERA DE SUS MODALIDADES. O.D. 1309/2012","/parlamentario/parlamentaria/ordenDelDiaResultadoLink/2012/1309","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/874","/votaciones/detalleActa/874",,46,0,0,26
875,"2012-11-28",13,"NAIDENOFF: REPRODUCE EL PROYECTO DE LEY MODIFICANDO LA LEY 24076 - RECONVERSION DE LA INDUSTRIA GASIFERA -, RESPECTO DE LA PRESENTACION DE RECLAMOS DE LOS USUARIOS. REF. S. 1361/09 O.D. 852/2012","/parlamentario/parlamentaria/ordenDelDiaResultadoLink/2012/852","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/875","/votaciones/detalleActa/875",,50,0,0,22
876,"2012-11-28",14,"FELLNER : PROYECTO DE LEY SOBRE RECONOCIMIENTO DE LA CIRUGIA PLASTICA RECONSTRUCTIVA PARA CASOS DE CANCER DE MAMA. O.D. 652/2012","/parlamentario/parlamentaria/ordenDelDiaResultadoLink/2012/652","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/876","/votaciones/detalleActa/876",,51,0,0,21
877,"2012-11-28",15,"BASUALDO: PROYECTO DE LEY IMPONIENDO A LOS USUARIOS DE TECNICAS DE PERFORACION CUTANEA ( PIERCING ) Y TATUAJE CORPORAL, LA PRESENTACION DEL CERTIFICADO DE VACUNACION CONTRA LA HEPATITIS B Y EL TETANOS EN EL ESTABLECIMIENTO DONDE CONCURRAN. O.D. 1114/2012","/parlamentario/parlamentaria/ordenDelDiaResultadoLink/2012/1114","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/877","/votaciones/detalleActa/877",,47,0,0,25
878,"2012-11-28",16,"Temas Varios O.D. S-1114/12-PL, O.D. 1128/2012","/parlamentario/comisiones/verExp/1114.12/S/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/878","/votaciones/detalleActa/878",,47,0,0,25
879,"2012-11-28",17,"Temas Varios O.D. S-2472/12-PL, O.D. 1000/2012","/parlamentario/comisiones/verExp/2472.12/S/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/879","/votaciones/detalleActa/879",,46,0,0,26
880,"2012-11-28",18,"Temas Varios O.D. S-680/11-PL, O.D. 1003/2012","/parlamentario/comisiones/verExp/680.11/S/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/880","/votaciones/detalleActa/880",,47,0,0,25
881,"2012-11-28",19,"Temas Varios O.D. S-1686/11-PL, O.D. 1302/2012","/parlamentario/comisiones/verExp/1686.11/S/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/881","/votaciones/detalleActa/881",,48,0,0,24
