id,votacion_id,original_id,itul
174,174,"75-PE-98","Insistencia de la HCDN sobre la sanción original del proyecto de Ley registrado bajo el Nº 25.064, Presupuesto de la Administración Nacional para el Ejercicio 1999, observado parcialmente por el PE por Decreto 1507/98"
175,175,"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001."
176,176,"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001."
177,177,"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001."
178,178,"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001."
179,179,"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001."
180,180,"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001."
181,181,"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001."
182,182,"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001."
183,183,"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001."
184,184,"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001."
185,185,"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001."
186,186,"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001."
187,187,"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001."
188,188,"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001."
189,189,"121-PE-99","Régimen para combatir la evasión tributaria y previsional."
190,190,"121-PE-99","Régimen para combatir la evasión tributaria y previsional."
191,191,"121-PE-99","Régimen para combatir la evasión tributaria y previsional."
192,192,"121-PE-99","Régimen para combatir la evasión tributaria y previsional."
193,193,"114-PE-99","Declarar en emergencia la situación económico - financiera del estado nacional, la prestación de los servicios, y la ejecución de los contratos a cargo del sector público nacional definido en el artículo 8 de la ley 24156 (administración financiera y control de gestión del sector público)."
194,194,"121-PE-99","Régimen para combatir la evasión tributaria y previsional."
195,195,"29-S-0","Exclusión del poder legislativo nacional de los alcances del decreto 430/2000 (reducción y ajuste salarial en el sector público nacional)."
196,196,"4-PE-0","Sustitución de: los artículos 1 (definición del carácter, el régimen jurídico y el funcionamiento del BCRA), 3 (objetivo primordial: asistencia a las pymes), el inciso a) del artículo 15 (normas para la gestión económica y financiera) y de los artículos 25 (restricciones para conceder créditos a la nación, provincias o municipalidades) y 29 (hipotecas a favor del banco de la nación argentina)."
197,197,"118-PE-99","Reforma laboral: modificaciones a las leyes 25013 (modificatoria de la ley de contrato de trabajo), 14250 (convenciones colectivas de trabajo) y 23546 (de negociaciones colectivas); derogación de la ley 16936 (prorroga por la ley 20638)."
198,198,"6210-D-99","Rechazar el diploma del diputado nacional electo por la provincia de Tucumán, Antonio domingo base y de su incorporación como miembro de la h cámara de diputados de la nación"
199,199,"73-PE-99","Comunicación del del decreto 1133/99, observación parcial del proyecto de ley registrado bajo el número 25174 de régimen para el fomento de la lucha antigranizo."
